Grain_Type,Temperature,Humidity,Storage_Days,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall,Spoilage_Class,Hours_To_Spoilage
Maize,13.82,57.11,22,0.405,5.47,42.5,0.016,10.34,1.9,0,506
Rice,30.86,75.03,276,0.303,25.91,197.6,0.315,16.37,8.4,1,33
Rice,36.39,82.37,203,0.144,32.89,89.8,0.626,17.53,17.9,2,4
Barley,11.0,58.78,87,0.466,3.24,48.6,0.1,10.49,0.2,0,517
Barley,12.58,43.63,58,0.979,0.53,5.2,0.097,10.78,2.9,0,528
Wheat,9.87,63.31,135,0.352,3.23,10.9,0.121,11.15,0.8,0,588
Maize,8.53,52.52,37,0.385,-0.63,11.5,0.099,11.16,2.0,0,578
Wheat,19.59,70.59,520,0.119,14.09,84.2,0.302,14.8,5.8,1,50
Wheat,17.49,77.34,376,0.331,13.48,115.7,0.346,15.45,3.2,2,62
Wheat,7.16,58.64,183,0.747,-0.4,18.0,0.063,11.76,1.0,0,436
Wheat,16.02,73.17,216,0.179,11.21,178.4,0.482,13.18,7.1,1,59
Barley,31.38,78.71,619,0.136,27.22,4.7,0.371,20.44,13.3,2,4
Barley,18.44,72.31,227,0.178,13.36,72.9,0.358,16.68,4.5,1,52
Sorghum,23.17,44.0,87,0.45,10.23,32.2,0.067,9.81,1.6,0,591
Rice,22.07,56.35,91,0.355,12.97,39.6,0.01,10.9,1.4,0,506
Sorghum,16.99,47.27,66,0.397,5.68,48.4,0.035,9.56,0.6,0,550
Rice,30.23,73.19,302,0.185,24.88,156.3,0.262,12.91,9.0,1,82
Wheat,7.25,48.94,118,0.936,-2.77,42.3,0.05,11.9,2.2,0,591
Rice,29.26,77.95,219,0.358,25.0,163.6,0.494,15.58,4.5,1,64
Maize,9.6,58.93,15,0.665,1.96,31.9,0.075,11.66,1.0,0,560
Rice,42.21,82.52,469,0.163,38.59,276.9,0.363,22.1,11.0,2,1
Wheat,8.32,50.2,66,0.999,-1.44,43.8,0.044,10.21,2.0,0,578
Rice,18.19,63.38,105,0.706,11.12,9.4,0.105,10.85,0.2,0,583
Barley,23.04,75.6,545,0.007,18.49,162.8,0.571,19.58,11.6,2,13
Sorghum,25.07,73.92,458,0.187,20.08,186.9,0.234,13.82,7.8,1,83
Barley,19.63,74.37,282,0.161,14.94,167.6,0.268,15.24,8.6,2,89
Rice,41.42,85.49,357,0.133,38.48,179.1,0.974,22.89,12.4,2,1
Barley,11.65,50.93,143,0.852,1.83,32.3,0.102,9.3,1.4,0,540
Wheat,8.3,44.92,88,0.853,-2.96,20.3,0.031,14.35,1.3,0,544
Sorghum,27.77,76.99,364,0.2,23.36,56.1,0.49,13.07,4.1,2,63
Wheat,16.23,71.56,266,0.133,11.08,26.1,0.455,13.55,6.5,1,58
Sorghum,34.91,85.49,730,0.087,32.1,79.5,0.733,17.19,25.7,2,5
Maize,7.5,57.49,65,0.949,-0.35,25.8,0.149,9.45,1.6,0,578
Maize,10.88,62.97,116,0.539,4.11,48.3,0.145,10.83,1.4,0,574
Rice,33.6,86.42,243,0.073,31.01,271.2,0.997,22.21,8.0,2,3
Sorghum,19.59,46.08,198,0.812,7.67,48.2,0.091,8.66,0.6,0,489
Barley,5.33,60.05,107,0.305,-1.79,41.3,0.043,11.06,1.9,0,507
Wheat,9.57,49.93,178,0.451,-0.36,20.9,0.108,10.37,1.4,0,545
Wheat,24.39,82.08,258,0.493,21.13,171.9,0.146,13.94,5.5,1,89
Rice,23.9,70.71,209,0.232,18.25,141.5,0.487,16.39,3.1,1,62
Rice,19.15,48.67,17,0.896,8.08,43.1,0.052,13.31,1.9,0,582
Barley,28.73,73.82,490,0.029,23.58,166.1,0.874,19.28,16.4,2,10
Barley,12.66,51.35,168,0.687,2.88,27.9,0.001,10.92,1.8,0,590
Sorghum,37.7,86.13,730,0.041,34.97,15.4,0.762,18.37,26.5,2,2
Barley,9.63,62.74,184,0.79,2.87,20.6,0.074,10.6,1.3,0,488
Barley,30.53,79.07,427,0.196,26.48,85.9,0.658,15.14,5.7,2,13
Wheat,16.19,57.91,7,0.346,7.89,28.2,0.039,12.79,0.1,0,567
Rice,40.47,87.82,269,0.167,38.04,171.7,0.914,18.48,17.1,2,2
Wheat,6.84,55.47,77,0.384,-1.45,27.7,0.026,13.22,2.2,0,524
Rice,33.31,85.56,510,0.199,30.55,249.6,0.646,17.85,20.5,2,4
Barley,10.86,62.19,184,0.337,3.91,40.3,0.145,11.65,0.3,0,484
Sorghum,35.47,65.23,494,0.191,27.92,13.2,0.361,13.0,6.8,2,12
Rice,38.12,86.2,272,0.034,35.4,270.3,0.71,22.15,8.8,2,2
Sorghum,21.57,60.34,160,0.315,13.55,33.7,0.066,8.72,1.7,0,505
Maize,20.55,69.42,110,0.361,14.75,155.8,0.328,14.61,2.9,1,231
Sorghum,19.86,45.7,103,0.694,7.8,41.7,0.103,7.19,0.5,0,498
Maize,23.53,67.23,335,0.358,17.09,30.1,0.451,15.75,5.1,1,97
Sorghum,25.77,43.3,245,0.369,12.34,25.4,0.065,9.39,1.3,0,441
Maize,3.48,51.45,122,0.552,-5.58,3.6,0.141,8.96,1.2,0,528
Wheat,10.04,55.89,137,0.887,1.64,46.1,0.094,8.25,1.1,0,551
Barley,8.59,58.71,21,0.316,0.96,18.8,0.123,11.0,2.0,0,548
Sorghum,24.23,56.15,239,0.531,14.93,11.6,0.136,9.94,1.0,0,435
Barley,26.49,70.73,399,0.26,20.73,189.3,0.398,14.33,3.7,1,32
Sorghum,28.73,75.93,360,0.174,24.05,127.9,0.486,12.19,8.9,1,37
Rice,36.87,82.82,419,0.055,33.45,229.6,0.73,21.26,12.1,2,2
Sorghum,18.55,54.36,87,0.934,9.16,7.3,0.082,10.05,2.7,0,512
Barley,34.68,76.44,671,0.089,29.91,247.1,0.996,19.09,5.2,2,7
Rice,21.75,71.0,117,0.536,16.25,40.2,0.009,13.26,2.6,0,360
Wheat,32.24,73.79,730,0.192,26.95,142.7,0.803,21.55,11.7,2,4
Rice,22.36,75.26,233,0.497,17.76,54.4,0.106,18.14,4.3,1,81
Rice,34.23,88.82,253,0.153,32.11,170.1,0.902,22.22,20.2,2,3
Barley,24.66,75.19,239,0.445,19.96,111.0,0.167,16.6,0.5,2,88
Sorghum,38.91,81.21,730,0.124,35.08,87.7,0.87,17.95,20.8,2,4
Sorghum,37.37,78.03,468,0.105,32.87,197.6,0.391,17.0,19.5,2,5
Sorghum,34.22,74.61,335,0.373,29.04,46.9,0.12,13.33,5.4,1,59
Sorghum,40.15,79.61,494,0.003,35.93,230.5,0.432,18.67,6.2,2,5
Sorghum,34.82,74.35,542,0.044,29.56,244.5,0.356,19.72,26.2,2,6
Barley,10.99,61.64,74,0.391,3.91,8.3,0.039,9.54,1.8,0,575
Sorghum,34.02,77.29,464,0.197,29.46,152.8,0.858,20.49,7.0,2,5
Maize,37.44,86.42,240,0.093,34.77,63.2,0.89,21.57,15.2,2,1
Sorghum,32.33,81.34,647,0.024,28.71,253.7,0.919,16.73,28.6,2,6
Maize,30.61,86.37,258,0.023,28.06,257.5,0.433,21.17,5.7,2,2
Sorghum,24.07,79.26,403,0.411,20.25,73.9,0.282,15.54,2.4,2,109
Maize,5.55,63.28,21,0.577,-0.87,27.6,0.0,10.47,1.0,0,599
Wheat,20.38,78.51,422,0.134,16.51,69.6,0.212,15.8,6.1,2,36
Rice,19.1,61.4,68,0.805,11.5,46.0,0.056,13.83,0.7,0,506
Rice,22.57,59.1,30,0.418,14.17,8.8,0.04,14.93,0.5,0,507
Rice,28.84,67.62,235,0.369,22.24,35.7,0.449,16.19,5.0,1,73
Wheat,10.01,56.97,50,0.368,1.88,47.0,0.094,9.21,2.9,0,554
Sorghum,31.23,68.87,281,0.166,24.82,61.8,0.472,14.77,1.0,1,53
Sorghum,20.87,63.05,118,0.781,13.57,25.8,0.043,10.58,0.2,0,515
Barley,33.83,76.82,616,0.047,29.17,100.0,0.679,17.57,24.5,2,10
Barley,13.15,62.18,166,0.64,6.07,41.8,0.094,9.13,1.2,0,572
Rice,39.63,88.03,316,0.024,37.26,137.2,0.666,20.25,18.5,2,1
Maize,12.21,56.18,60,0.566,3.73,49.2,0.068,12.23,2.2,0,547
Wheat,34.64,77.96,388,0.186,30.21,279.8,0.463,16.4,25.5,2,10
Maize,19.28,79.14,248,0.458,15.57,164.5,0.315,14.86,2.7,1,156
Rice,30.15,73.71,238,0.202,24.92,159.8,0.195,17.5,6.3,1,56
Maize,24.13,78.63,143,0.366,20.18,26.1,0.269,13.09,2.7,1,148
Rice,34.52,80.79,506,0.076,30.72,260.1,0.542,23.92,26.4,2,2
Rice,23.01,52.48,102,0.995,12.75,33.1,0.105,13.43,2.7,0,553
Sorghum,17.72,59.06,96,0.966,9.62,7.1,0.054,12.63,2.4,0,590
Maize,10.69,44.54,91,1.0,-0.9,7.2,0.037,12.36,1.4,0,516
Wheat,21.59,70.91,161,0.492,16.08,64.8,0.344,11.68,7.9,1,155
Barley,30.09,79.6,354,0.017,26.16,74.7,0.871,21.14,16.6,2,4
Maize,26.56,74.18,158,0.413,21.57,87.6,0.4,17.24,7.4,1,67
Maize,17.07,74.28,279,0.478,12.45,115.2,0.287,15.55,7.4,1,219
Rice,39.11,87.87,293,0.164,36.72,100.4,0.548,19.93,22.4,2,2
Rice,20.15,57.95,53,0.476,11.61,44.9,0.027,9.41,2.2,0,572
Maize,9.07,57.47,88,0.664,1.12,29.9,0.022,10.65,2.0,0,540
Rice,29.94,73.96,260,0.129,24.78,133.3,0.437,14.36,4.4,1,46
Rice,28.17,79.02,234,0.478,24.18,48.5,0.463,14.85,4.6,1,64
Sorghum,29.12,74.48,229,0.453,24.11,132.4,0.484,12.38,6.1,1,59
Rice,35.53,76.79,113,0.474,30.81,25.5,0.22,18.6,0.9,2,13
Wheat,10.36,61.85,83,0.469,3.36,18.0,0.121,12.77,2.2,0,547
Barley,15.69,74.72,340,0.326,11.21,153.2,0.412,14.98,6.8,1,65
Wheat,18.12,72.84,507,0.474,13.17,95.0,0.285,14.31,0.3,1,101
Maize,8.7,55.08,109,0.817,0.18,11.4,0.135,13.65,0.1,0,582
Sorghum,35.84,79.79,513,0.14,31.79,161.6,0.778,16.45,28.0,2,5
Maize,20.5,71.15,249,0.339,15.09,165.2,0.2,14.26,0.0,1,219
Sorghum,42.15,79.03,475,0.088,37.73,237.4,0.493,17.83,23.6,2,6
Barley,28.71,79.42,475,0.116,24.78,159.8,0.816,18.72,18.3,2,9
Maize,30.04,85.59,277,0.156,27.35,112.4,0.738,17.93,15.8,2,6
Wheat,13.36,60.55,179,0.486,5.89,32.8,0.019,10.38,1.6,0,588
Barley,7.29,51.85,40,0.988,-1.95,3.3,0.051,8.91,1.4,0,558
Wheat,13.98,52.28,33,0.341,4.36,29.1,0.116,11.38,2.6,0,498
Barley,33.68,83.65,483,0.164,30.51,150.0,0.429,20.57,26.1,2,3
Sorghum,19.62,56.24,203,0.43,10.66,48.0,0.068,12.55,1.0,0,509
Maize,9.61,42.27,70,0.421,-2.59,33.0,0.114,12.16,3.0,0,551
Rice,16.31,62.75,39,0.996,9.19,11.0,0.148,13.06,1.7,0,586
Wheat,22.72,75.7,255,0.34,18.2,121.9,0.452,12.45,5.1,1,75
Maize,23.44,73.4,103,0.437,18.4,40.5,0.384,12.27,4.6,1,161
Rice,25.31,67.15,122,0.467,18.77,37.5,0.089,14.11,0.7,1,332
Wheat,36.01,77.29,594,0.143,31.39,252.4,0.455,18.09,6.1,2,5
Wheat,26.49,67.61,198,0.13,20.0,92.9,0.186,15.57,2.8,1,147
Wheat,10.4,42.67,17,0.904,-1.75,13.1,0.086,8.65,1.9,0,508
Maize,26.09,83.2,414,0.09,23.01,258.4,0.941,19.23,12.8,2,9
Maize,15.56,55.68,121,0.759,6.73,12.9,0.107,10.92,2.1,0,497
Rice,32.85,87.78,345,0.128,30.55,223.5,0.972,20.43,6.0,2,1
Rice,36.09,79.2,270,0.39,31.9,97.1,0.291,17.7,9.1,2,15
Maize,8.23,43.21,48,0.642,-3.54,38.5,0.023,12.83,2.4,0,562
Wheat,12.35,50.05,52,0.847,2.23,8.2,0.072,10.94,0.7,0,544
Rice,18.14,67.74,101,0.75,12.08,49.1,0.089,11.01,0.4,0,533
Sorghum,35.95,81.7,728,0.134,32.31,214.2,0.909,16.74,27.1,2,4
Barley,14.05,67.97,404,0.106,8.23,76.9,0.488,14.74,8.5,1,77
Barley,21.11,64.03,244,0.293,14.03,73.1,0.266,12.26,2.0,0,338
Wheat,30.23,71.84,633,0.054,24.57,176.0,0.82,16.91,16.2,2,9
Sorghum,24.64,76.72,447,0.447,20.27,198.8,0.171,13.13,1.7,1,94
Barley,11.78,43.77,108,0.479,-0.15,43.2,0.074,9.48,1.7,0,569
Barley,34.53,84.49,646,0.172,31.52,177.8,0.822,18.59,8.7,2,4
Sorghum,42.44,79.15,570,0.116,38.04,91.8,0.419,17.75,22.5,2,5
Rice,36.33,73.77,330,0.174,30.88,89.6,0.466,13.32,2.7,1,16
Barley,34.13,78.05,444,0.003,29.74,3.1,0.655,20.43,30.0,2,5
Rice,15.66,62.8,94,0.649,8.59,30.5,0.112,12.22,2.5,0,537
Wheat,15.03,78.77,457,0.332,11.37,124.7,0.343,14.41,4.0,2,59
Rice,23.63,54.16,40,0.61,13.81,0.1,0.098,12.28,3.0,0,576
Wheat,8.35,62.41,163,0.831,1.59,43.0,0.026,11.02,0.3,0,597
Maize,38.15,81.66,540,0.021,34.44,297.9,0.825,18.78,8.5,2,2
Wheat,12.62,55.31,6,0.347,3.9,13.8,0.097,12.42,3.0,0,557
Maize,19.58,71.52,228,0.322,14.29,171.7,0.248,13.16,9.2,1,231
Wheat,32.06,78.11,278,0.144,27.75,40.0,0.498,21.81,6.1,2,6
Barley,18.93,77.77,245,0.223,14.96,26.3,0.208,13.9,4.1,1,120
Barley,30.06,81.94,603,0.032,26.63,193.4,0.602,20.51,22.6,2,2
Sorghum,28.45,67.84,236,0.399,21.92,177.3,0.114,12.88,9.1,1,230
Wheat,14.16,68.64,281,0.208,8.48,153.9,0.115,18.13,8.6,1,100
Rice,42.05,66.48,238,0.46,34.48,184.2,0.301,14.07,1.7,2,40
Sorghum,21.61,68.58,180,0.994,15.58,39.8,0.074,11.79,1.1,0,572
Barley,16.81,80.78,319,0.355,13.49,192.2,0.348,13.58,0.1,2,43
Rice,21.81,62.41,41,0.617,14.3,22.1,0.114,15.34,0.4,0,567
Barley,8.67,59.05,146,0.587,1.12,31.6,0.11,12.82,2.9,0,580
Rice,22.18,52.03,72,0.779,11.86,29.5,0.12,13.97,1.5,0,568
Maize,17.08,55.3,50,0.747,8.04,13.9,0.035,10.12,0.1,0,574
Maize,36.83,80.77,299,0.117,32.96,28.8,0.703,23.58,20.6,2,1
Barley,31.66,87.2,545,0.02,29.26,55.4,0.641,19.34,19.0,2,3
Wheat,30.83,80.76,669,0.01,27.13,21.4,0.819,17.63,29.1,2,7
Maize,9.73,60.1,46,0.864,2.36,6.9,0.018,12.03,1.6,0,545
Wheat,20.02,72.67,226,0.187,14.96,102.8,0.278,14.39,5.7,1,95
Sorghum,35.03,77.5,694,0.185,30.49,49.8,0.572,16.25,9.3,2,5
Maize,10.95,47.88,9,0.713,0.33,8.8,0.116,10.75,0.6,0,598
Rice,26.59,69.19,109,0.331,20.47,61.5,0.292,14.77,6.6,1,353
Barley,9.69,58.12,133,0.702,1.86,13.1,0.038,11.75,2.1,0,569
Maize,37.13,87.75,183,0.113,34.75,248.3,0.441,21.42,27.1,2,2
Barley,31.37,76.07,573,0.166,26.63,257.4,0.551,18.06,18.9,2,6
Wheat,9.19,49.95,103,0.643,-0.7,12.9,0.047,9.04,0.0,0,549
Barley,31.91,80.79,633,0.159,28.18,71.9,0.637,21.81,24.5,2,2
Maize,17.84,72.89,129,0.274,12.91,110.5,0.493,15.03,3.0,1,153
Sorghum,30.88,77.35,216,0.356,26.44,10.3,0.432,12.55,9.0,1,43
Sorghum,28.94,65.0,335,0.161,21.68,182.2,0.211,13.36,8.6,1,158
Rice,27.9,78.91,98,0.34,23.89,157.9,0.198,16.9,3.7,1,124
Sorghum,16.63,52.28,87,0.412,6.81,15.2,0.023,10.71,0.2,0,561
Maize,26.85,88.26,104,0.479,24.74,31.2,0.488,17.17,8.2,1,17
Wheat,8.78,61.98,85,0.496,1.9,33.6,0.098,10.72,2.6,0,495
Wheat,34.54,82.56,548,0.19,31.12,162.2,0.875,14.07,22.3,2,8
Rice,22.96,59.39,51,0.638,14.61,8.1,0.002,11.49,1.0,0,556
Maize,26.32,74.92,181,0.208,21.51,136.8,0.349,15.36,0.7,1,84
Sorghum,20.51,83.22,443,0.405,17.56,174.2,0.42,13.76,4.8,1,45
Barley,9.63,39.88,5,0.473,-3.35,27.3,0.053,11.54,1.4,0,593
Wheat,19.77,76.56,290,0.491,15.53,193.0,0.304,13.1,0.5,2,74
Maize,26.07,79.49,365,0.135,22.24,180.4,0.345,14.12,8.9,1,55
Rice,21.39,63.45,48,0.54,14.16,37.4,0.07,13.96,1.0,0,510
Rice,28.75,80.09,289,0.257,24.96,122.7,0.404,15.38,2.6,2,42
Wheat,8.04,51.43,59,0.892,-1.37,13.3,0.067,11.85,0.5,0,586
Rice,34.33,83.18,383,0.19,31.05,60.4,0.854,21.86,12.7,2,3
Rice,35.25,71.94,260,0.398,29.4,105.3,0.441,15.27,6.0,2,28
Barley,11.86,50.48,68,0.355,1.9,8.3,0.008,13.3,2.5,0,502
Rice,29.57,78.03,135,0.442,25.32,129.1,0.112,15.82,6.3,1,201
Rice,33.88,89.24,412,0.07,31.85,234.0,0.613,19.32,22.9,2,3
Rice,42.26,81.72,211,0.018,38.46,7.5,0.689,20.13,22.9,2,1
Sorghum,41.25,85.0,703,0.189,38.2,180.7,0.95,19.92,15.3,2,2
Wheat,31.82,78.21,665,0.152,27.54,202.0,0.569,17.92,9.0,2,10
Wheat,27.93,64.81,486,0.313,20.68,184.1,0.46,16.44,5.0,1,71
Rice,21.52,61.98,74,0.341,13.92,28.6,0.008,13.15,0.6,0,565
Sorghum,17.94,44.01,66,0.319,5.51,42.4,0.023,8.91,2.2,0,560
Maize,10.34,44.16,120,0.924,-1.33,33.3,0.098,13.07,2.8,0,562
Barley,11.3,63.09,117,0.696,4.53,48.3,0.14,8.83,0.4,0,560
Sorghum,25.79,83.38,400,0.386,22.75,139.1,0.447,12.04,5.3,2,47
Rice,40.38,89.02,215,0.085,38.21,45.3,0.62,18.68,27.2,2,3
Rice,38.07,74.94,259,0.205,32.83,71.8,0.116,17.67,2.2,2,13
Wheat,21.97,71.52,379,0.276,16.58,177.7,0.221,14.51,7.7,1,106
Rice,35.65,80.34,206,0.092,31.72,279.6,0.566,17.4,14.9,2,5
Wheat,10.08,53.18,93,0.335,0.98,35.7,0.09,10.91,1.2,0,497
Barley,17.82,70.35,438,0.143,12.35,143.3,0.271,14.87,7.4,1,80
Sorghum,18.06,56.14,241,0.931,9.18,23.0,0.072,9.73,1.9,0,452
Maize,30.07,87.89,320,0.105,27.83,291.9,0.785,21.03,11.3,2,2
Rice,31.87,77.89,281,0.145,27.52,105.3,0.77,23.6,24.5,2,5
Wheat,11.88,57.17,70,0.832,3.67,17.0,0.067,12.85,0.3,0,508
Sorghum,19.63,57.7,231,0.316,11.05,5.2,0.129,11.31,0.8,0,454
Barley,18.64,68.98,428,0.205,12.83,130.4,0.387,11.74,8.0,1,154
Wheat,37.05,76.84,414,0.087,32.29,95.0,0.853,17.09,17.8,2,5
Sorghum,37.28,60.64,332,0.335,28.36,87.3,0.406,13.14,3.4,1,31
Sorghum,30.6,72.46,427,0.4,25.07,156.7,0.403,15.69,2.9,2,36
Wheat,11.97,61.04,3,0.587,4.69,33.2,0.061,12.91,2.9,0,574
Maize,12.3,47.87,125,0.851,1.57,29.3,0.004,8.94,1.6,0,569
Maize,15.62,60.41,68,0.384,7.98,18.6,0.147,10.88,2.8,0,529
Maize,20.05,67.68,176,0.256,13.88,133.6,0.247,14.24,0.9,1,208
Wheat,31.63,81.55,730,0.092,28.07,157.0,0.59,19.36,8.5,2,5
Barley,35.96,89.31,470,0.104,33.91,206.9,0.656,19.75,29.2,2,2
Wheat,34.63,80.14,642,0.089,30.69,198.5,0.883,17.6,6.0,2,7
Rice,21.28,55.69,92,0.858,12.06,49.4,0.129,11.32,0.7,0,561
Maize,17.54,67.8,296,0.358,11.52,114.7,0.417,14.58,4.3,1,213
Maize,17.17,83.02,326,0.143,14.26,95.4,0.294,15.34,9.4,2,52
Rice,40.54,89.24,499,0.067,38.41,72.1,0.413,19.8,17.0,2,1
Maize,12.09,51.05,113,0.805,2.27,5.0,0.069,9.85,2.1,0,500
Rice,32.14,89.76,217,0.137,30.24,61.5,0.693,23.3,23.1,2,3
Barley,8.95,67.04,69,0.808,3.16,46.9,0.114,5.52,1.7,0,493
Wheat,33.03,77.47,280,0.184,28.55,32.6,0.484,16.8,22.1,2,11
Wheat,40.1,76.95,491,0.092,35.26,6.9,0.504,17.95,26.1,2,5
Sorghum,36.69,75.04,568,0.17,31.52,125.4,0.609,17.17,10.7,2,6
Sorghum,21.32,58.18,202,0.816,12.76,46.8,0.015,11.2,2.0,0,449
Wheat,20.52,81.48,408,0.38,17.24,113.2,0.483,11.68,5.8,1,77
Maize,15.02,54.82,8,0.611,6.0,48.0,0.136,12.15,2.8,0,531
Maize,8.14,55.13,96,0.916,-0.33,26.9,0.057,11.7,0.5,0,517
Rice,16.49,59.91,30,0.492,8.67,48.8,0.073,11.9,2.5,0,502
Sorghum,35.2,85.17,419,0.173,32.32,51.5,0.42,17.28,24.3,2,2
Sorghum,18.15,49.53,232,0.442,7.42,50.0,0.083,12.05,1.2,0,482
Wheat,13.93,55.62,2,0.999,5.2,29.1,0.101,7.02,0.3,0,494
Rice,21.68,69.51,193,0.365,15.85,142.2,0.342,16.54,6.9,1,152
Maize,7.31,59.04,62,0.96,-0.16,41.5,0.02,12.68,1.3,0,493
Sorghum,31.29,70.41,533,0.229,25.25,153.3,0.116,13.73,6.0,1,52
Wheat,10.83,48.39,24,0.434,0.37,14.0,0.139,9.36,2.9,0,516
Wheat,11.02,75.08,448,0.284,6.77,127.9,0.389,15.33,4.4,1,60
Rice,19.27,52.13,18,0.725,9.2,9.9,0.013,8.98,1.7,0,558
Barley,21.34,76.21,150,0.122,16.97,136.9,0.4,13.51,0.1,1,32
Rice,17.54,56.19,66,0.941,8.71,25.8,0.148,14.68,1.3,0,507
Rice,41.63,80.7,279,0.097,37.61,49.4,0.826,21.89,10.1,2,1
Barley,29.61,72.93,176,0.103,24.23,79.3,0.409,12.72,4.8,1,24
Maize,32.79,80.12,448,0.043,28.9,87.2,0.762,21.27,7.4,2,3
Sorghum,31.02,71.49,270,0.364,25.24,159.9,0.172,13.76,3.7,1,72
Barley,9.46,46.51,168,0.823,-1.43,43.8,0.078,10.9,2.1,0,597
Maize,10.12,60.65,47,0.876,2.86,33.8,0.103,12.96,2.1,0,546
Wheat,22.56,81.6,292,0.269,19.25,15.0,0.336,15.22,3.7,2,25
Sorghum,31.25,73.45,444,0.454,25.92,46.0,0.183,12.12,4.2,1,57
Maize,28.87,71.44,220,0.348,23.17,87.2,0.308,15.66,0.8,1,57
Wheat,33.48,74.91,681,0.049,28.4,226.9,0.42,21.54,9.0,2,5
Wheat,34.33,90.71,583,0.048,32.58,10.7,0.703,17.17,15.4,2,4
Rice,21.53,50.18,2,0.543,10.71,22.2,0.073,12.89,0.9,0,507
Sorghum,22.0,58.83,212,0.991,13.57,26.5,0.019,11.59,0.7,0,474
Wheat,33.8,74.13,460,0.065,28.53,159.7,0.408,20.84,10.2,2,5
Barley,20.09,71.46,311,0.144,14.76,147.3,0.249,15.79,1.4,2,33
Barley,30.87,80.02,442,0.04,27.01,45.9,0.661,17.29,5.7,2,6
Rice,35.75,74.96,155,0.27,30.6,84.0,0.234,17.58,4.8,1,18
Wheat,11.47,68.49,134,0.615,5.87,20.4,0.088,11.4,2.5,0,588
Maize,21.87,68.75,155,0.336,15.86,199.0,0.45,13.36,8.3,1,254
Wheat,24.9,74.7,523,0.364,20.09,133.1,0.292,15.38,8.8,1,95
Rice,24.13,73.96,309,0.357,19.19,171.7,0.209,16.57,0.6,1,139
Rice,39.59,85.7,300,0.007,36.73,177.3,0.426,20.46,10.3,2,1
Rice,37.75,90.86,452,0.126,35.99,268.1,0.658,19.96,24.3,2,1
Barley,7.32,58.17,32,0.401,-0.36,31.1,0.128,12.71,2.5,0,495
Sorghum,32.72,74.65,376,0.472,27.61,117.2,0.467,13.87,9.4,1,38
Maize,16.12,69.01,177,0.294,10.43,26.8,0.274,15.45,4.9,1,391
Maize,21.6,67.78,337,0.203,15.38,101.1,0.438,13.93,4.5,1,92
Maize,15.86,61.85,104,0.41,8.55,29.3,0.037,11.5,1.5,0,529
Wheat,15.3,56.09,29,0.664,6.59,26.1,0.038,10.28,2.5,0,564
Sorghum,25.98,80.02,492,0.341,22.26,99.5,0.304,14.98,7.1,2,43
Barley,10.1,47.33,54,0.71,-0.61,33.2,0.054,10.61,1.9,0,505
Maize,21.1,73.3,338,0.448,16.13,198.8,0.35,14.64,6.5,1,67
Rice,32.01,70.64,339,0.367,25.99,22.8,0.389,16.55,6.3,1,31
Rice,32.74,70.17,294,0.2,26.57,58.3,0.338,16.33,6.2,1,38
Barley,15.65,78.12,299,0.215,11.85,54.1,0.144,14.48,4.5,2,134
Wheat,20.13,73.88,430,0.348,15.32,125.3,0.405,14.28,7.1,1,67
Wheat,14.1,80.17,359,0.189,10.73,61.9,0.2,14.65,7.9,1,53
Sorghum,38.61,73.95,521,0.427,33.11,138.7,0.15,11.72,2.1,1,38
Maize,9.51,47.06,71,0.372,-1.22,6.1,0.086,9.82,0.2,0,492
Sorghum,27.03,67.13,417,0.24,20.4,65.2,0.453,13.64,6.7,1,95
Barley,16.16,56.98,47,0.841,7.63,29.8,0.131,11.2,0.5,0,526
Rice,18.6,74.0,105,0.848,13.87,46.8,0.031,12.81,1.3,0,352
Maize,12.0,64.89,120,0.93,5.6,37.6,0.003,10.73,0.4,0,579
Wheat,13.36,52.92,136,0.609,3.95,44.4,0.046,10.94,2.6,0,570
Rice,23.43,50.39,13,0.997,12.52,30.4,0.054,11.02,2.1,0,569
Wheat,21.45,81.16,351,0.356,18.08,165.0,0.402,17.93,7.9,2,18
Maize,18.92,65.95,131,0.43,12.41,124.0,0.363,16.01,7.5,1,204
Wheat,29.93,64.07,496,0.247,22.38,34.2,0.491,14.36,9.8,1,66
Wheat,16.84,80.37,515,0.116,13.44,130.9,0.32,17.24,2.3,2,12
Barley,18.91,79.52,444,0.204,15.29,118.2,0.341,14.35,4.2,2,66
Sorghum,25.01,72.23,506,0.483,19.65,164.0,0.304,12.67,9.2,1,64
Maize,21.75,79.4,210,0.458,18.02,70.4,0.262,15.12,3.6,1,131
Rice,37.05,67.28,109,0.393,29.95,29.1,0.347,15.81,4.0,1,49
Wheat,30.62,86.25,705,0.137,28.05,124.9,0.966,20.82,19.4,2,1
Rice,18.09,46.27,47,0.966,6.37,38.5,0.129,14.09,1.9,0,503
Maize,20.41,73.81,269,0.164,15.57,14.5,0.248,17.95,7.3,1,79
Barley,13.43,48.86,92,0.991,2.89,34.1,0.055,11.46,1.9,0,599
Sorghum,22.31,53.4,180,0.76,12.37,29.3,0.123,7.93,2.1,0,564
Sorghum,24.33,70.3,536,0.196,18.57,25.8,0.385,13.95,9.1,1,49
Barley,15.97,77.05,269,0.433,11.95,65.4,0.326,13.45,5.9,1,78
Sorghum,37.46,76.38,450,0.074,32.58,129.9,0.69,15.63,28.9,2,8
